PatientKontext;Patientidentifikator;Nachname;Vorname;Geburtsname;Geschlecht;Geburtsdatum;Wohnort;PLZ;PatientVerstorben;Todeszeitpunkt;Informationsquelle;LetzterLebendZeitpunkt;IKVersicherung;Versichertennummer
260123452_Bapu;P_0000007;Müllers_19;Hans;Schmitts_19;m;2009-12-16;Ort_879;87952;nein;;P21;2020-04-19 17:00:00;BKK_800;8002000007
260123452_Bapu;P_0000008;Schmitts_23;Grete;Schmitts_23;w;1946-10-16;Ort_637;63764;nein;;P21;2020-08-15 17:00:00;AOK_600;6002000008
260123452_Bapu;P_0000009;Schulzen_60;Hans;Schulzen_66;m;1942-01-16;Ort_237;23767;nein;;P21;2020-12-02 17:00:00;AOK_100;1002000009
260123452_Bapu;P_0000010;Schmitts_13;Grete;Schmitts_13;w;1974-07-01;Ort_437;43763;nein;;P21;2020-02-28 17:00:00;BAR_400;4002000010
260123452_Bapu;P_0000011;Schmitts_12;Grete;Schmitts_12;w;1990-01-01;Ort_237;23764;nein;;P21;2020-08-11 17:00:00;AOK_100;1002000011
260123452_Bapu;P_0000012;Meyerson_33;Grete;Meyerson_96;w;1970-04-01;Ort_038;13869;nein;;P21;2020-01-03 17:00:00;TKK_900;9002000012
260123452_Bapu;P_0000013;Müllers_30;Grete;Müllers_31;w;1977-07-01;Ort_437;43760;nein;;P21;2020-03-29 17:00:00;BAR_400;4002000013
260123452_Bapu;P_0000014;Schmitts_91;Hans;Meyerson_17;m;1978-12-01;Ort_806;80665;nein;;P21;2020-11-29 17:00:00;BKK_800;8002000014
260123452_Bapu;P_0000015;Schmitts_95;Grete;Schulzen_81;w;1982-01-16;Ort_237;23765;nein;;P21;2020-09-21 17:00:00;AOK_100;1002000015
260123452_Bapu;P_0000016;Müllers_81;Hans;Müllers_81;m;1947-04-16;Ort_376;37652;nein;;P21;2020-03-12 17:00:00;AOK_300;3002000016
260123452_Bapu;P_0000017;Schmitts_49;Grete;Müllers_86;w;1981-04-16;Ort_037;13764;nein;;P21;2020-12-10 17:00:00;TKK_900;9002000017
260123452_Bapu;P_0000018;Schmitts_10;Grete;Schmitts_10;w;1946-04-16;Ort_038;13863;nein;;P21;2020-06-23 17:00:00;TKK_900;9002000018
260123452_Bapu;P_0000019;Schmitts_17;Grete;Schmitts_17;w;1991-01-16;Ort_604;28553;nein;;P21;2020-09-12 17:00:00;AOK_600;6002000019
260123452_Bapu;P_0000020;Müllers_59;Grete;Schmitts_59;w;1951-01-01;Ort_237;23762;nein;;P21;2020-12-24 17:00:00;AOK_100;1002000020
260123452_Bapu;P_0000021;Schulzen_23;Grete;Meyerson_23;w;1986-07-01;Ort_878;43769;nein;;P21;2020-10-05 17:00:00;BKK_800;8002000021
260123452_Bapu;P_0000022;Schulzen_35;Hans;Schmitts_83;m;1977-01-01;Ort_237;23762;nein;;P21;2020-06-10 17:00:00;AOK_100;1002000022
260123452_Bapu;P_0000023;Müllers_72;Grete;Schulzen_12;w;1967-04-01;Ort_376;37658;nein;;P21;2020-11-18 17:00:00;AOK_300;3002000023
260123452_Bapu;P_0000024;Müllers_77;Grete;Schmitts_44;w;1960-10-01;Ort_637;63762;nein;;P21;2020-08-15 17:00:00;AOK_600;6002000024
260123452_Bapu;P_0000025;Schulzen_75;Hans;Schmitts_22;m;1951-07-16;Ort_437;43760;nein;;P21;2020-01-30 17:00:00;BAR_400;4002000025
260123452_Bapu;P_0000026;Schmitts_29;Grete;Müllers_40;w;2014-04-16;Ort_038;13865;nein;;P21;2020-05-28 17:00:00;TKK_900;9002000026
260123452_Bapu;P_0000027;Schmitts_20;Grete;Schmitts_20;w;2016-12-16;Ort_410;81067;nein;;P21;2020-05-25 17:00:00;BAR_400;4002000027
260123452_Bapu;P_0000028;Müllers_19;Hans;Müllers_19;m;1942-12-16;Ort_879;87950;nein;;P21;2020-04-01 17:00:00;BKK_800;8002000028
260123452_Bapu;P_0000029;Schmitts_12;Hans;Schulzen_12;m;1967-04-16;Ort_376;37655;nein;;P21;2020-12-05 17:00:00;AOK_300;3002000029
260123452_Bapu;P_0000030;Schmitts_15;Grete;Schmitts_15;w;1984-12-01;Ort_851;85163;nein;;P21;2020-09-10 17:00:00;BKK_800;8002000030
260123452_Bapu;P_0000031;Müllers_15;Grete;Müllers_15;w;2019-01-01;Ort_237;23760;nein;;P21;2020-03-05 17:00:00;AOK_100;1002000031
260123452_Bapu;P_0000032;Müllers_16;Hans;Schmitts_16;m;2019-12-01;Ort_230;86255;nein;;P21;2020-06-28 17:00:00;AOK_100;1002000032
260123452_Bapu;P_0000033;Schmitts_14;Hans;Schmitts_14;m;1940-12-01;Ort_879;87953;nein;;P21;2020-04-28 17:00:00;BKK_800;8002000033
260123452_Bapu;P_0000034;Müllers_11;Hans;Schmitts_11;m;2019-12-01;Ort_839;83962;nein;;P21;2020-03-28 17:00:00;BKK_800;8002000034
260123452_Bapu;P_0000035;Schulzen_26;Hans;Müllers_12;m;1943-10-16;Ort_006;05668;nein;;P21;2020-04-23 17:00:00;TKK_900;9002000035
260123452_Bapu;P_0000036;Schulzen_24;Hans;Meyerson_24;m;1964-01-16;Ort_465;22069;nein;;P21;2020-10-27 17:00:00;BAR_400;4002000036
260123452_Bapu;P_0000037;Schulzen_25;Grete;Schulzen_25;w;1965-01-16;Ort_237;23767;nein;;P21;2020-04-08 17:00:00;AOK_100;1002000037
260123452_Bapu;P_0000038;Schulzen_20;Hans;Schulzen_20;m;1949-10-16;Ort_637;63767;nein;;P21;2020-12-23 17:00:00;AOK_600;6002000038
260123452_Bapu;P_0000039;Müllers_12;Hans;Müllers_12;m;1973-12-16;Ort_839;83961;nein;;P21;2020-05-01 17:00:00;BKK_800;8002000039
260123452_Bapu;P_0000040;Meyerson_11;Grete;Meyerson_11;w;1979-07-01;Ort_437;43769;nein;;P21;2020-03-05 17:00:00;BAR_400;4002000040
260123452_Bapu;P_0000041;Schmitts_15;Grete;Schmitts_15;w;1979-01-01;Ort_237;23764;nein;;P21;2020-12-02 17:00:00;AOK_100;1002000041
260123452_Bapu;P_0000042;Müllers_25;Grete;Schmitts_25;w;1985-12-01;Ort_451;89252;nein;;P21;2020-12-08 17:00:00;BAR_400;4002000042
260123452_Bapu;P_0000043;Müllers_25;Grete;Müllers_25;w;1941-10-01;Ort_637;63761;nein;;P21;2020-12-20 17:00:00;AOK_600;6002000043
260123452_Bapu;P_0000044;Schulzen_49;Hans;Müllers_83;m;1950-01-01;Ort_237;23768;nein;;P21;2020-12-04 17:00:00;AOK_100;1002000044
260123452_Bapu;P_0000045;Schulzen_41;Hans;Schmitts_41;m;1970-12-16;Ort_637;87952;nein;;P21;2020-06-18 17:00:00;AOK_600;6002000045
260123452_Bapu;P_0000046;Schmitts_72;Grete;Schulzen_72;w;1991-07-16;Ort_437;43765;nein;;P21;2020-08-05 17:00:00;BAR_400;4002000046
260123452_Bapu;P_0000047;Schmitts_13;Grete;Schulzen_13;w;1970-01-16;Ort_237;23765;nein;;P21;2020-10-23 17:00:00;AOK_100;1002000047
260123452_Bapu;P_0000048;Müllers_13;Grete;Müllers_13;w;2019-10-16;Ort_006;05660;nein;;P21;2020-07-19 17:00:00;TKK_900;9002000048
260123452_Bapu;P_0000049;Schulzen_25;Hans;Schulzen_25;m;1951-12-16;Ort_837;83766;nein;;P21;2020-12-28 17:00:00;BKK_800;8002000049
260123452_Bapu;P_0000050;Müllers_20;Hans;Schulzen_20;m;2010-04-01;Ort_037;13768;nein;;P21;2020-01-16 17:00:00;TKK_900;9002000050
260123452_Bapu;P_0000051;Schmitts_70;Hans;Meyerson_51;m;2017-12-01;Ort_837;83765;nein;;P21;2020-09-24 17:00:00;BKK_800;8002000051
260123452_Bapu;P_0000052;Meyerson_23;Grete;Schulzen_23;w;2004-04-01;Ort_037;13767;nein;;P21;2020-09-21 17:00:00;TKK_900;9002000052
260123452_Bapu;P_0000053;Müllers_15;Grete;Müllers_15;w;1945-01-01;Ort_237;23760;nein;;P21;2020-11-06 17:00:00;AOK_100;1002000053
260123452_Bapu;P_0000054;Meyerson_18;Grete;Schulzen_18;w;1975-10-01;Ort_237;63767;nein;;P21;2020-01-28 17:00:00;AOK_100;1002000054
260123452_Bapu;P_0000055;Müllers_17;Grete;Müllers_17;w;1984-12-16;Ort_590;87063;nein;;P21;2020-01-30 17:00:00;DAK_550;5502000055
260123452_Bapu;P_0000056;Schulzen_34;Hans;Schulzen_34;m;1941-04-16;Ort_038;13868;nein;;P21;2020-04-02 17:00:00;TKK_900;9002000056
260123452_Bapu;P_0000057;Schulzen_12;Grete;Meyerson_12;w;1975-10-16;Ort_637;63768;nein;;P21;2020-02-13 17:00:00;AOK_600;6002000057
260123452_Bapu;P_0000058;Müllers_25;Grete;Müllers_25;w;2002-07-16;Ort_437;43760;nein;;P21;2020-12-19 17:00:00;BAR_400;4002000058
260123452_Bapu;P_0000059;Schulzen_36;Hans;Schulzen_74;m;1987-12-16;Ort_839;83966;nein;;P21;2020-05-07 17:00:00;BKK_800;8002000059
260123452_Bapu;P_0000060;Meyerson_16;Grete;Meyerson_16;w;1959-12-01;Ort_839;83969;nein;;P21;2020-10-10 17:00:00;BKK_800;8002000060
260123452_Bapu;P_0000061;Schulzen_11;Grete;Schulzen_11;w;2009-12-01;Ort_879;87956;nein;;P21;2020-07-09 17:00:00;BKK_800;8002000061
260123452_Bapu;P_0000062;Schulzen_23;Hans;Schulzen_23;m;1981-07-01;Ort_182;43768;nein;;P21;2020-10-31 17:00:00;AOK_110;1102000062
260123452_Bapu;P_0000063;Schulzen_19;Hans;Meyerson_19;m;1965-01-01;Ort_237;23768;nein;;P21;2020-04-05 17:00:00;AOK_100;1002000063
260123452_Bapu;P_0000064;Schulzen_25;Grete;Schulzen_25;w;1967-04-01;Ort_642;37656;nein;;P21;2020-11-06 17:00:00;AOK_600;6002000064
260123452_Bapu;P_0000065;Schulzen_69;Grete;Meyerson_69;w;1935-01-16;Ort_237;23768;nein;;P21;2020-04-03 17:00:00;AOK_100;1002000065
260123452_Bapu;P_0000066;Müllers_84;Hans;Schmitts_84;m;1950-07-16;Ort_437;43762;nein;;P21;2020-02-22 17:00:00;BAR_400;4002000066
260123452_Bapu;P_0000067;Schmitts_12;Grete;Schulzen_12;w;1952-07-16;Ort_437;43765;nein;;P21;2020-03-06 17:00:00;BAR_400;4002000067
260123452_Bapu;P_0000068;Schmitts_88;Hans;Meyerson_17;m;1966-10-16;Ort_637;63765;nein;;P21;2020-09-25 17:00:00;AOK_600;6002000068
260123452_Bapu;P_0000069;Schulzen_49;Grete;Müllers_86;w;1944-12-16;Ort_879;87958;nein;;P21;2020-03-19 17:00:00;BKK_800;8002000069
260123452_Bapu;P_0000070;Schmitts_75;Hans;Müllers_44;m;1938-04-01;Ort_806;37654;nein;;P21;2020-06-24 17:00:00;BKK_800;8002000070
260123452_Bapu;P_0000071;Schmitts_14;Grete;Schulzen_14;w;1939-12-01;Ort_806;84665;nein;;P21;2020-12-21 17:00:00;BKK_800;8002000071
260123452_Bapu;P_0000072;Meyerson_25;Grete;Schulzen_25;w;2007-07-01;Ort_437;43767;nein;;P21;2020-11-10 17:00:00;BAR_400;4002000072
260123452_Bapu;P_0000073;Schulzen_40;Hans;Meyerson_24;m;1970-10-01;Ort_006;05669;nein;;P21;2020-10-21 17:00:00;TKK_900;9002000073
260123452_Bapu;P_0000074;Schmitts_11;Hans;Schmitts_11;m;1960-04-01;Ort_038;13864;nein;;P21;2020-03-01 17:00:00;TKK_900;9002000074
260123452_Bapu;P_0000120;Meyerson_80;Grete;Schmitts_49;w;2007-12-01;Ort_837;83765;nein;;P21;2020-02-13 17:00:00;BKK_800;8002000120
260123452_Bapu;P_0000121;Müllers_18;Grete;Schmitts_18;w;2008-10-01;Ort_637;63762;nein;;P21;2020-03-17 17:00:00;AOK_600;6002000121
260123452_Bapu;P_0000122;Müllers_23;Hans;Müllers_23;m;1949-01-01;Ort_237;23761;nein;;P21;2020-09-15 17:00:00;AOK_100;1002000122
260123452_Bapu;P_0000123;Schulzen_15;Hans;Schulzen_15;m;1949-12-01;Ort_806;80666;nein;;P21;2020-02-13 17:00:00;BKK_800;8002000123
260123452_Bapu;P_0000124;Müllers_23;Grete;Müllers_23;w;1944-10-01;Ort_637;63761;nein;;P21;2020-03-20 17:00:00;AOK_600;6002000124
260123452_Bapu;P_0000125;Schulzen_15;Grete;Schulzen_15;w;1985-04-16;Ort_037;13766;nein;;P21;2020-11-04 17:00:00;TKK_900;9002000125
260123452_Bapu;P_0000126;Schmitts_86;Grete;Schmitts_86;w;1981-04-16;Ort_038;13765;nein;;P21;2020-03-27 17:00:00;TKK_900;9002000126
260123452_Bapu;P_0000127;Schulzen_50;Grete;Meyerson_50;w;2008-04-16;Ort_037;13768;nein;;P21;2020-06-16 17:00:00;TKK_900;9002000127
260123452_Bapu;P_0000128;Müllers_20;Hans;Müllers_20;m;1953-10-16;Ort_637;63761;nein;;P21;2020-05-26 17:00:00;AOK_600;6002000128
260123452_Bapu;P_0000129;Schulzen_20;Hans;Meyerson_20;m;1968-12-16;Ort_285;81468;nein;;P21;2020-05-28 17:00:00;AOK_100;1002000129
260123452_Bapu;P_0000130;Schmitts_70;Hans;Schulzen_70;m;1953-12-01;Ort_842;84665;nein;;P21;2020-05-25 17:00:00;BKK_800;8002000130
260123452_Bapu;P_0000131;Schulzen_13;Hans;Schulzen_13;m;1983-04-01;Ort_038;13869;nein;;P21;2020-11-09 17:00:00;TKK_900;9002000131
260123452_Bapu;P_0000132;Meyerson_13;Hans;Meyerson_13;m;1959-01-01;Ort_237;23769;nein;;P21;2020-08-01 17:00:00;AOK_100;1001003390
260123452_Bapu;P_0000133;Schulzen_17;Hans;Meyerson_17;m;1967-07-01;Ort_437;43768;nein;;P21;2020-02-27 17:00:00;BAR_400;4002000133
260123452_Bapu;P_0000134;Müllers_13;Hans;Müllers_13;m;1999-01-01;Ort_237;23761;nein;;P21;2020-02-24 17:00:00;AOK_100;1002000134
260123452_Bapu;P_0000135;Müllers_63;Grete;Müllers_63;w;1946-10-16;Ort_006;05669;nein;;P21;2020-09-06 17:00:00;TKK_900;9002000135
260123452_Bapu;P_0000136;Meyerson_12;Grete;Meyerson_12;w;1959-04-16;Ort_038;13869;nein;;P21;2020-05-27 17:00:00;TKK_900;9002000136
260123452_Bapu;P_0000137;Müllers_99;Hans;Meyerson_61;m;1953-12-16;Ort_837;83769;nein;;P21;2020-12-19 17:00:00;BKK_800;8002000137
260123452_Bapu;P_0000138;Müllers_30;Hans;Schmitts_99;m;1962-04-16;Ort_038;13860;nein;;P21;2020-03-09 17:00:00;TKK_900;9002000138
260123452_Bapu;P_0000139;Schulzen_21;Hans;Meyerson_21;m;1951-04-16;Ort_037;13768;nein;;P21;2020-06-29 17:00:00;TKK_900;9002000139
260123452_Bapu;P_0000140;Schmitts_76;Grete;Meyerson_82;w;1931-04-01;Ort_038;13865;nein;;P21;2020-09-17 17:00:00;TKK_900;9002000140
260123452_Bapu;P_0000141;Schmitts_25;Grete;Schulzen_25;w;1947-12-01;Ort_851;85165;nein;;P21;2020-11-08 17:00:00;BKK_800;8002000141
260123452_Bapu;P_0000142;Schulzen_20;Grete;Meyerson_20;w;1956-12-01;Ort_892;89258;nein;;P21;2020-05-18 17:00:00;BKK_800;8002000142
260123452_Bapu;P_0000143;Schmitts_25;Hans;Schmitts_25;m;1953-07-01;Ort_437;43763;nein;;P21;2020-12-19 17:00:00;BAR_400;4002000143
260123452_Bapu;P_0000144;Schulzen_23;Grete;Meyerson_23;w;1956-10-01;Ort_406;68956;nein;;P21;2020-03-21 17:00:00;BAR_400;4002000144
260123452_Bapu;P_0000145;Schulzen_90;Hans;Schulzen_90;m;2013-12-16;Ort_879;87956;nein;;P21;2020-09-02 17:00:00;BKK_800;8002000145
260123452_Bapu;P_0000146;Schmitts_11;Grete;Schulzen_11;w;2003-07-16;Ort_437;43765;nein;;P21;2020-05-17 17:00:00;BAR_400;4001011455
260123452_Bapu;P_0000147;Schulzen_93;Hans;Schmitts_93;m;1936-07-16;Ort_437;43761;nein;;P21;2020-03-05 17:00:00;BAR_400;4002000147
260123452_Bapu;P_0000148;Müllers_25;Hans;Müllers_25;m;2018-01-16;Ort_237;23760;nein;;P21;2020-12-20 17:00:00;AOK_100;1002000148
260123452_Bapu;P_0000149;Müllers_20;Hans;Schmitts_20;m;1983-01-16;Ort_465;28269;nein;;P21;2020-02-07 17:00:00;BAR_400;4002000149
260123452_Bapu;P_0000150;Schmitts_17;Hans;Schmitts_17;m;1986-12-01;Ort_846;83763;nein;;P21;2020-02-18 17:00:00;BKK_800;8002000150
260123452_Bapu;P_0000151;Schulzen_46;Grete;Schmitts_99;w;1952-12-01;Ort_879;87952;nein;;P21;2020-07-03 17:00:00;BKK_800;8002000151
260123452_Bapu;P_0000152;Schulzen_10;Grete;Schulzen_10;w;1943-01-01;Ort_237;23767;nein;;P21;2020-07-15 17:00:00;AOK_100;1002000152
260123452_Bapu;P_0000153;Müllers_21;Hans;Müllers_21;m;1950-07-01;Ort_437;43761;nein;;P21;2020-07-10 17:00:00;BAR_400;4002000153
260123452_Bapu;P_0000154;Müllers_70;Grete;Schmitts_70;w;1980-07-01;Ort_437;43762;nein;;P21;2020-11-15 17:00:00;BAR_400;4002000154
260123452_Bapu;P_0000155;Schmitts_19;Hans;Schulzen_19;m;1977-12-16;Ort_821;80660;nein;;P21;;BKK_800;8002000155
260123452_Bapu;P_0000156;Schulzen_18;Grete;Schulzen_18;w;2003-01-16;Ort_237;23767;nein;;P21;2020-05-22 17:00:00;AOK_100;1002000156
260123452_Bapu;P_0000157;Schulzen_60;Hans;Schmitts_70;m;1946-12-16;Ort_839;83962;nein;;P21;2020-03-05 17:00:00;BKK_800;8002000157
260123452_Bapu;P_0000158;Müllers_64;Hans;Schulzen_39;m;1947-10-16;Ort_451;63766;nein;;P21;2020-07-17 17:00:00;BAR_400;4002000158
260123452_Bapu;P_0000159;Müllers_76;Grete;Schmitts_76;w;1972-04-16;Ort_376;37652;nein;;P21;2020-04-14 17:00:00;AOK_300;3002000159
260123452_Bapu;P_0000160;Schulzen_25;Grete;Schulzen_25;w;1999-12-01;Ort_880;80668;nein;;P21;2020-12-07 17:00:00;BKK_800;8002000160
260123452_Bapu;P_0000161;Schulzen_16;Grete;Schulzen_16;w;2003-12-01;Ort_806;80667;nein;;P21;2020-04-08 17:00:00;BKK_800;8002000161
260123452_Bapu;P_0000162;Müllers_23;Hans;Müllers_23;m;1938-07-01;Ort_437;43761;nein;;P21;2020-08-29 17:00:00;BAR_400;4002000162
260123452_Bapu;P_0000163;Müllers_28;Grete;Schmitts_28;w;2015-01-01;Ort_237;23762;nein;;P21;2020-03-14 17:00:00;AOK_100;1002000163
